gene	SPE_score	SEL_score
A1CF	1	3.16227766016838
A2M-AS1	0.942857142857143	1.0883809088526
A2M	0.941666666666667	0.677202072477852
A3GALT2	0.966666666666667	1.82098111528435
A4GALT	0.907692307692308	0.869226987360353
A4GNT	1	3.16227766016838
AAAS	0.466666666666667	0.388349888090854
AACS	0.74	0.264785315920089
AADAC	1	3.16227766016838
AADACL4	1	3.16227766016838
AADACP1	0.992307692307692	1.17610371764081
AADAT	0.995	0.759586419936851
AAED1	0.955555555555555	0.633286617191203
AAGAB	0.968421052631579	0.928559218478941
AAK1	0.915	0.313378867223893
AAMDC	0.93	0.73627385707916
AAMP	0.744444444444444	0.354778882623467
AANAT	1	3.16227766016838
AAR2	1	1.1653431646335
AARD	0.981818181818182	1.14956470622871
AARS	0.9	0.52704627669473
AARS2	0.907142857142857	0.304915778647617
AARSD1	0.9125	0.720082299823096
AASDH	0.95	1.40545673785261
AASDHPPT	1	1.74801474695025
AASS	0.918181818181818	0.623609564462324
AATBC	0.9625	1.40182224317823
AATF	0.983333333333333	1.35526185435788
AATK-AS1	0.958333333333333	0.962583349696751
AATK	1	3.16227766016838
ABALON	0.813333333333333	0.502980719302584
ABAT	1	3.16227766016838
ABCA1	0.847619047619048	0.471068762542742
ABCA11P	0.945454545454546	0.921777197924954
ABCA13	0.98	1.79161283295523
ABCA17P	1	1.10492102890195
ABCA2	0.868421052631579	0.516042011088679
ABCA3	1	1.10492102890195
ABCA4	1	3.16227766016838
ABCA6	1	2.10818510677892
ABCA7	0.872222222222222	0.268415837710881
ABCA8	0.977777777777778	1.93797296428115
ABCA9	0.972727272727273	1.65643115532629
ABCB10	0.992857142857143	0.846197011762656
ABCB4	1	1.74801474695025
ABCB6	0.944444444444444	0.602338601936834
ABCB7	0.926666666666667	0.451456842606641
ABCB8	0.893333333333333	0.491575460243547
ABCB9	0.9	0.843685697138191
ABCC1	0.943589743589744	0.426439628745938
ABCC13	0.977777777777778	2.36480157759111
ABCC2	1	1.74801474695025
ABCC3	0.906666666666667	1.0079614376273
ABCC4	0.937037037037037	0.389249472080762
ABCC5-AS1	0.985714285714286	0.86066296582387
ABCC5	0.971428571428571	0.776895443089001
ABCC6	1	3.16227766016838
ABCD1	0.841666666666667	0.557690429242578
ABCD2	0.988888888888889	0.720082299823096
ABCD3	0.98	0.63071801355283
ABCD4	0.9125	0.6478835438717
ABCE1	0.84	0.72975638311578
ABCF1	0.866666666666667	0.690065559342354
ABCF2	0.914285714285714	0.451456842606641
ABCF3	0.883333333333333	0.519191198238887
ABCG1	0.89	0.823257300310472
ABCG2	0.982608695652174	0.72092846027933
ABCG4	0.96	1.65643115532629
ABCG5	1	3.16227766016838
ABCG8	1	3.16227766016838
ABHD1	0.975	0.816496580927726
ABHD10	0.938095238095238	0.761935655989233
ABHD11-AS1	0.954545454545454	0.621518078757346
ABHD11	0.960869565217391	0.655505530106345
ABHD12	0.888888888888889	0.368003104621106
ABHD13	0.96	0.690065559342354
ABHD14A-ACY1	1	1.14867072934085
ABHD14A	1	1.14867072934085
ABHD14B	1	1.14867072934085
ABHD15	0.973333333333333	0.721221220740157
ABHD16A	0.871428571428571	0.60380736442456
ABHD16B	0.945454545454546	1.46862614204502
ABHD17A	0.792307692307692	0.333333333333333
ABHD17B	0.907142857142857	0.553494117813825
ABHD17C	0.965217391304348	0.839123140435556
ABHD18	0.963157894736842	0.814884542670293
ABHD2	0.931034482758621	0.522083914404079
ABHD3	0.96	0.96421222530079
ABHD4	0.942857142857143	0.417698447033037
ABHD5	0.975	1.00615390423749
ABHD6	0.952631578947368	0.317212204630339
ABI1	0.975	0.846197011762656
ABI2	1	1.56347191994114
ABI3	0.908333333333333	0.984014214305389
ABI3BP	0.976923076923077	1.53659074288215
ABL1	0.863636363636364	0.658729875828981
ABL2	0.966666666666667	0.439025926537757
ABLIM1	0.9	0.534466345350312
ABLIM2	0.957777777777778	0.537241539926151
ABLIM3	0.936842105263158	0.892537891159016
ABO	0.96	1.88080168172681
ABR	0.941176470588235	0.957088762632805
ABRA	0.957142857142857	2.10818510677892
ABRACL	0.971428571428571	0.856224241204924
ABT1	1	1.69967317119759
ABTB1	0.960714285714286	0.533075765111544
ABTB2	0.957142857142857	0.432049379893857
ACAA1	0.966666666666667	0.765780486227234
ACAA2	0.94	0.837950173833242
ACACA	1	2.33770242069211
ACACB	1	3.16227766016838
ACAD10	0.88	0.535448819422164
ACAD11	1	1.61015297179883
ACAD8	0.946428571428571	0.570175985997932
ACAD9	0.8875	0.442807442770048
ACADL	0.9875	0.972883373078792
ACADM	0.985714285714286	1.11024271620619
ACADS	0.985	0.681313581074966
ACADSB	0.990909090909091	0.86066296582387
ACADVL	0.55	0.287479787288034
ACAN	1	3.16227766016838
ACAP1	1	2.10818510677892
ACAP2	0.930769230769231	0.417698447033037
ACAP3	0.991666666666667	0.89192446825262
ACAT1	0.990909090909091	1.40545673785261
ACAT2	1	1.91070501407037
ACBD3	0.866666666666667	0.508432297715777
ACBD4	0.935714285714286	0.412470999152397
ACBD5	1	1.4142135623731
ACBD6	0.96875	0.570104285589459
ACBD7-DCLRE1CP1	0.953846153846154	0.839542885193361
ACBD7	0.953846153846154	0.839542885193361
ACCS	0.984615384615385	1.18634202800348
ACCSL	1	2.69794580461244
ACD	0.816666666666667	0.484278001381509
ACE2	1	2.24982852570184
ACER2	0.921428571428571	0.711805216802087
ACER3	0.942857142857143	0.287479787288034
